OrderID,Date,CustomerID,Quantity,UnitPrice,ShippingAddress,TrackingNumber,ItemsInCart,TotalPrice,AverageSpendPerCartItem,OrderMonth,OrderQuarter,OrderYear,WeekendOrder,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,CouponCode_No Coupon,CouponCode_SAVE10,CouponCode_WINTER15,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral
ORD200000,2023-01-04,C72649,1.4599927111375337,1.0868224981398293,928 Main St,TRK37947903,0.6641729724549916,2.1982218088297683,1.2974343365477103,1,1,2023,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
ORD200001,2024-08-23,C75739,-0.6722481651688036,-1.0404260837596455,823 Main St,TRK91186779,-1.0894190340268348,-0.9173544302403613,-0.6930012918185955,8,3,2024,0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True
ORD200002,2024-02-27,C81728,1.4599927111375337,0.9856529970472739,512 Main St,TRK42903982,1.1025709740754481,2.0764279917676247,0.8858894257311024,2,1,2024,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ORD200003,2023-10-15,C33540,-1.3829951239375826,-0.4222469456895903,275 Main St,TRK62788070,-0.2126230307859216,-0.9534039341671805,-0.9932485115299677,10,4,2023,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False
ORD200004,2025-05-08,C81840,0.7492457523687547,1.367854527503752,668 Main St,TRK29241424,1.1025709740754481,1.7718090727845128,0.6835915173310444,5,2,2025,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False
ORD200005,2023-10-23,C37249,-0.6722481651688036,-0.5609110612793359,934 Main St,TRK72976927,-0.6510210324063782,-0.6864470350439075,-0.5500233347427764,10,4,2023,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False
ORD200006,2025-06-17,C83492,-1.3829951239375826,1.562735196358568,986 Main St,TRK96417362,0.22577497083453502,-0.4754762004738749,-0.6291598708274104,6,2,2025,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
ORD200007,2023-05-12,C41460,1.4599927111375337,-1.0495587368171477,706 Main St,TRK78809193,1.5409689756959049,-0.37368002418713003,-0.8086340926311619,5,2,2023,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
ORD200008,2025-04-02,C26817,-0.6722481651688036,-1.127034076921627,904 Main St,TRK61042692,-1.5278170356472913,-0.959059955962544,-0.4763601566760246,4,2,2025,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
ORD200009,2023-11-21,C31946,0.7492457523687547,0.7761093463390234,102 Main St,TRK33478363,0.22577497083453502,1.2019068507601258,0.8561104640251157,11,4,2023,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False
ORD200010,2023-12-29,C43443,1.4599927111375337,1.3676515796580297,333 Main St,TRK98859248,1.5409689756959049,2.536300433423032,0.9091638170390262,12,4,2023,0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
ORD200011,2024-02-17,C93861,0.03849879359997556,-1.5590085665414932,831 Main St,TRK48234646,0.6641729724549916,-1.1070449409064569,-1.2111746959463021,2,1,2024,1,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
ORD200012,2024-10-15,C38785,-0.6722481651688036,-0.8925278411895362,179 Main St,TRK20419991,0.22577497083453502,-0.8461349765320064,-0.9573666474649121,10,4,2024,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
ORD200013,2023-08-30,C88348,0.03849879359997556,-0.7860309591467715,903 Main St,TRK81913874,-0.6510210324063782,-0.548711299098504,-0.36708229229726375,8,3,2023,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
ORD200014,2023-03-27,C98474,-0.6722481651688036,0.1873069089372679,980 Main St,TRK79186539,-1.0894190340268348,-0.3261474522524458,0.35398935890637506,3,1,2023,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
ORD200015,2023-07-17,C39416,-1.3829951239375826,0.5963990289519473,942 Main St,TRK54930938,-1.0894190340268348,-0.7081427039608952,-0.32250038504291473,7,3,2023,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
ORD200016,2023-01-24,C28976,-0.6722481651688036,0.9000597431139037,914 Main St,TRK13194259,-1.0894190340268348,0.017074120884765384,0.9618133386313268,1,1,2023,0,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
ORD200017,2024-03-02,C60672,-1.3829951239375826,0.3398729519589894,382 Main St,TRK11972116,-1.0894190340268348,-0.769906950607455,-0.4318810100959242,3,1,2024,1,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True
ORD200018,2025-03-26,C84329,-1.3829951239375826,0.38066546894916714,891 Main St,TRK65191045,-1.0894190340268348,-0.7600852626517915,-0.41448741386518456,3,1,2025,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
ORD200019,2023-01-23,C14552,1.4599927111375337,-0.6718220589665602,273 Main St,TRK59101365,1.5409689756959049,0.0810616849541246,-0.5401943663918237,1,1,2023,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
ORD200020,2023-05-08,C54829,1.4599927111375337,-1.491173249108822,587 Main St,TRK16718651,1.5409689756959049,-0.9053216408916943,-1.122468797424607,5,2,2023,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
ORD200021,2024-11-17,C99023,0.7492457523687547,-0.06830590274993968,569 Main St,TRK52646983,0.22577497083453502,0.38866131520736275,0.13600692654203095,11,4,2024,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
ORD200022,2023-01-29,C34416,-0.6722481651688036,-1.5565731923928259,633 Main St,TRK75937350,-1.5278170356472913,-1.1659017724616634,-1.0258160734276736,1,1,2023,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
ORD200023,2025-04-09,C42372,0.7492457523687547,-0.4219425239210069,755 Main St,TRK36168083,-0.2126230307859216,0.048078404506001364,0.07088910980754543,4,2,2025,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
ORD200024,2024-10-30,C17470,-0.6722481651688036,-0.6365598707723147,956 Main St,TRK28775057,-1.0894190340268348,-0.7228752358943903,-0.3485907793890241,10,4,2024,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True
ORD200025,2024-07-24,C42577,-1.3829951239375826,0.2210469882885966,709 Main St,TRK69423327,-1.0894190340268348,-0.7985168923887529,-0.4825474309571085,7,3,2024,0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
ORD200026,2024-03-06,C21944,1.4599927111375337,-1.5061913896922705,296 Main St,TRK80276812,0.22577497083453502,-0.923401364989184,-1.0257836226884371,3,1,2024,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
ORD200027,2024-02-22,C97593,-1.3829951239375826,0.590209119657418,881 Main St,TRK89117573,0.22577497083453502,-0.7096330595959586,-0.8364984607221975,2,1,2024,0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False
ORD200028,2023-11-21,C59823,0.7492457523687547,-0.9961834533921891,568 Main St,TRK65895539,-0.2126230307859216,-0.5049656964004562,-0.5167548368775634,11,4,2023,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
ORD200029,2024-09-20,C33260,0.03849879359997556,0.3405325324575868,930 Main St,TRK59744090,0.22577497083453502,0.26502287764608295,0.026528949271311955,9,3,2024,0,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
ORD200030,2025-03-22,C44267,-0.6722481651688036,0.3566161492310773,895 Main St,TRK54751444,-0.2126230307859216,-0.2446176693966034,-0.24011877503463522,3,1,2025,1,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
ORD200031,2023-06-30,C26445,0.03849879359997556,0.7289239722085941,996 Main St,TRK31229981,0.22577497083453502,0.5455640019020646,0.2749393581263718,6,2,2023,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False
ORD200032,2023-05-01,C12388,1.4599927111375337,0.9148241988901998,830 Main St,TRK99261395,1.9793669773163614,1.991160103794328,0.3938388666887415,5,2,2023,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
ORD200033,2023-06-05,C52184,-1.3829951239375826,-0.9824844738059353,912 Main St,TRK73312471,-0.6510210324063782,-1.088293335170209,-1.0837568683343632,6,2,2023,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
ORD200034,2023-01-07,C67195,0.7492457523687547,1.1167573053838649,926 Main St,TRK55467915,-0.2126230307859216,1.5299805469507914,1.6455028199258785,1,1,2023,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
ORD200035,2024-12-07,C50304,-0.6722481651688036,0.5516997659316158,128 Main St,TRK46850888,-1.5278170356472913,-0.1506764002684302,1.6710350615571208,12,4,2024,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
ORD200036,2025-05-08,C59337,-0.6722481651688036,0.9032054347225991,465 Main St,TRK50961250,-0.2126230307859216,0.018588908579419944,0.03955467600082486,5,2,2025,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False
ORD200037,2024-10-14,C10054,-0.6722481651688036,-1.4189745529931221,409 Main St,TRK94005261,0.6641729724549916,-1.0996420268503224,-1.2055560822385045,10,4,2024,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
ORD200038,2024-12-19,C15924,-1.3829951239375826,-0.5607588503950443,549 Main St,TRK14835975,-1.0894190340268348,-0.9867536955091718,-0.8159030582201278,12,4,2024,0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
ORD200039,2025-02-27,C96664,0.03849879359997556,-0.5071298821629326,666 Main St,TRK85508960,-0.6510210324063782,-0.3472567517392448,-0.09950972192307775,2,1,2025,0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True
ORD200040,2023-08-20,C84766,-0.6722481651688036,-0.06287704787686882,267 Main St,TRK78967923,-0.6510210324063782,-0.44662193809666484,-0.2314868783977384,8,3,2023,1,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
ORD200041,2023-12-05,C20212,0.03849879359997556,1.2939815116608435,657 Main St,TRK69733327,-0.6510210324063782,0.9537137734028961,1.6284434663092742,12,4,2023,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
ORD200042,2024-05-06,C28712,-0.6722481651688036,-1.0388532379552977,980 Main St,TRK40772558,0.22577497083453502,-0.9165970363930342,-1.0197586021035354,5,2,2024,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
ORD200043,2023-12-14,C60572,0.03849879359997556,0.7245098565641345,871 Main St,TRK20351666,1.1025709740754481,0.5423756181254128,-0.13287719454296187,12,4,2023,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
ORD200044,2025-04-21,C73225,-0.6722481651688036,0.9831161489757455,996 Main St,TRK73848522,-1.0894190340268348,0.05706940243556372,1.0326424854714285,4,2,2025,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
ORD200045,2024-02-10,C17388,-1.3829951239375826,-0.19869989362650245,157 Main St,TRK47077395,-1.966215037267748,-0.8995801068877617,0.7111421949427944,2,1,2024,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False
ORD200046,2024-06-26,C43212,0.7492457523687547,0.9829132011300235,223 Main St,TRK25100762,-0.6510210324063782,1.4010770005476076,2.2226327270983757,6,2,2024,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
ORD200047,2023-07-19,C38134,-0.6722481651688036,-0.7431582267379405,323 Main St,TRK42450754,-1.0894190340268348,-0.7742069930955066,-0.43949611690341217,7,3,2023,0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ORD200048,2023-08-26,C12408,-0.6722481651688036,-1.398527557536603,464 Main St,TRK38938858,-0.6510210324063782,-1.089795906835068,-1.0857525887974053,8,3,2023,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False
ORD200049,2023-10-07,C11985,-1.3829951239375826,-1.6538866844166575,633 Main St,TRK53272402,-1.966215037267748,-1.2499480574553996,-1.1502971091387133,10,4,2023,1,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
ORD200050,2023-07-31,C96494,-1.3829951239375826,-0.899022172252649,446 Main St,TRK14675049,0.22577497083453502,-1.068197966156445,-1.153996493411669,7,3,2023,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
ORD200051,2024-12-30,C36778,-1.3829951239375826,0.1619384282219833,434 Main St,TRK67610289,-1.5278170356472913,-0.8127485671006284,-0.08769765284100814,12,4,2024,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
ORD200052,2024-09-08,C30513,-1.3829951239375826,1.16708837112299,232 Main St,TRK64320429,-0.2126230307859216,-0.5707368008199729,-0.5866407488971918,9,3,2024,1,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False
ORD200053,2024-05-18,C67551,0.7492457523687547,0.6715912057920508,512 Main St,TRK94992552,-0.2126230307859216,1.1012467652443718,1.1899463622288344,5,2,2024,1,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
ORD200054,2025-03-27,C48120,-1.3829951239375826,-0.3864266509196085,623 Main St,TRK11014449,-0.2126230307859216,-0.944779417131486,-0.984084422769593,3,1,2025,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
ORD200055,2025-06-24,C95984,0.03849879359997556,-0.06094904334250721,565 Main St,TRK67434829,-1.0894190340268348,-0.024973453671693752,0.8873497089967429,6,2,2025,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
ORD200056,2023-05-21,C54298,0.03849879359997556,0.6230359337029961,566 Main St,TRK62902341,-0.2126230307859216,0.4690794393518056,0.5182290403299192,5,2,2023,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
ORD200057,2023-01-22,C88036,1.4599927111375337,-0.21381950813281217,842 Main St,TRK52470128,0.22577497083453502,0.6324321897785846,0.35185842702984793,1,1,2023,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
ORD200058,2023-01-15,C60190,0.7492457523687547,0.600102827136379,202 Main St,TRK70857868,0.22577497083453502,1.0323972213163635,0.7060149781434344,1,1,2023,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
ORD200059,2024-09-11,C97603,0.7492457523687547,1.2017417157800683,811 Main St,TRK47055028,-0.2126230307859216,1.6118279465813197,1.7324708010795766,9,3,2024,0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False
